Interactor 1	Interactor 2
fra	RhoGEF64C
numb	CycA
AP-2α	N
Ret	l(3)S019203
Pi3K92E|btl::Egfr	arm|wg
aos	SM3-3
trio	kst
sktl	baz
GluRIIA	Pi3K68D
dind	Phb1
Atx-1	Nmnat
Pten	Ilp2
CycE	S(CycE<up>JP</up>)42S12
Ras85D|scrib	Atg13
lz	E(lz)174
Acox1	Elovl7
Eip75B	Rheb
Ras85D|l(2)gl	hep
prel	PEK
nod	ncd
btl	btl::Egfr
Seipin	RyR
L	EP1324
anchor	tkv
shrb	aurB
path	gig|Tsc1
upd1	Lamp1
fra|Rho1	sqh
puc	Atg1
gcm	lilli
Alg3	wts
Akt|Pdk1	scyl
egr	nopo
scrib|Raf	ZnT86D
Ufd1	TBPH
Ret	l(3)06803
Scr	tna
mir-285	hpo
Sap-r	Calx
Det	aurB
